Esth.1	158139	163398
Esth.2	163399	164117
Esth.3	164118	164638
Esth.4	164639	164990
Esth.5	164991	165586
Esth.6	165587	166349
Esth.7	166350	166413
Esth.8	166414	166883
Esth.9	166884	167113
Esth.10	167114	167498
Esth.11	167499	167922
Exod.1	167923	168085
Exod.2	168086	168923
Exod.3	168924	170025
Exod.4	170026	170238
Exod.5	170239	171057
Exod.6	171058	171109
Exod.7	171110	171429
Exod.8	171430	171470
Exod.9	171471	171621
Exod.10	171622	171747
Exod.11	171748	172087
Exod.12	172088	172883
Exod.13	172884	173038
Exod.14	173039	173398
Exod.15	173399	173750
Exod.16	173751	174075
Exod.17	174076	174336
Exod.18	174337	174533
Exod.19	174534	174812
Exod.20	174813	175327
Exod.21	175328	175743
Exod.22	175744	175883
Exod.23	175884	176051
Exod.24	176052	176583
Exod.25	176584	176920
Exod.26	176921	177200
Exod.27	177201	177373
Exod.28	177374	177658
Exod.29	177659	178170
Exod.30	178171	178745
Exod.31	178746	178957
Exod.32	178958	179094
Exod.33	179095	179153
Exod.34	179154	179817
Exod.35	179818	180568
Exod.36	180569	180732
Exod.37	180733	180841
Exod.38	180842	180949
Exod.39	180950	181422
Exod.40	181423	181939
Exod.41	181940	182090
Exod.42	182091	182854
Exod.43	182855	183275
Exod.44	183276	183670
Exod.45	183671	183804
Exod.46	183805	184134
Exod.47	184135	184325
Exod.48	184326	185324
Exod.49	185325	187263
Exod.50	187264	187465
Exod.51	187466	187612
Exod.52	187613	187709
Exod.53	187710	188235
Exod.54	188236	188565
Exod.55	188566	188775
Exod.56	188776	189728
Exod.57	189729	190473
Exod.58	190474	190774
Exod.59	190775	191357
Exod.60	191358	192332
Exod.61	192333	192516
Exod.62	192517	192654
Exod.63	192655	192809
Exod.64	192810	192914
Exod.65	192915	193633
Exod.66	193634	193764
Exod.67	193765	194275
Exod.68	194276	194539
Exod.69	194540	195082
Exod.70	195083	195213
Ezek.1	195214	195989
Ezek.2	195990	196067
Ezek.3	196068	196127
Ezek.4	196128	196267
Ezek.5	196268	196399
Ezek.6	196400	196544
Ezek.7	196545	197253
Ezek.8	197254	197362
Ezek.9	197363	197519
Ezek.10	197520	197716
Ezek.11	197717	197921
Ezek.12	197922	198056
Ezek.13	198057	198136
Ezek.14	198137	198510
Ezek.15	198511	198607
Ezek.16	198608	200034
Ezek.17	200035	200116
Ezek.18	200117	200262
Ezek.19	200263	200533
Ezek.20	200534	200694
Ezek.21	200695	200892
Ezek.22	200893	200977
Ezek.23	200978	201094
Ezek.24	201095	201497
Ezek.25	201498	201728
Ezek.26	201729	202009
Ezek.27	202010	202223
Ezek.28	202224	202327
Ezek.29	202328	202493
Ezek.30	202494	203204
Ezek.31	203205	204089
Ezek.32	204090	204446
Ezek.33	204447	205160
Ezek.34	205161	205303
Ezek.35	205304	205404
Ezek.36	205405	206535
Ezek.37	206536	206642
Ezek.38	206643	206798
Ezek.39	206799	206919
Ezek.40	206920	206996
Ezek.41	206997	207141
Ezek.42	207142	207167
Ezek.43	207168	207227
Ezek.44	207228	207338
Ezek.45	207339	207631
Ezek.46	207632	207759
Ezek.47	207760	207939
Ezek.48	207940	208886
Ezek.49	208887	209073
Ezek.50	209074	209189
Ezek.51	209190	209799
Ezek.52	209800	209983
Ezek.53	209984	211312
Ezek.54	211313	211782
